former_outbreak_code,country,ADM1,ADM2,ADM3,ADM4,city_village,exact_location,includes_health_facility_sampling,start_date,end_date,outbreak_year,outbreak_month,human_cases,livestock_cases,outbreak_type,n_human_cases,n_livestock_cases,n_total_cases,ref_name,ref_DOI_URL,WAHIS_ref_number,notes,GPS_x,GPS_y,RVF_presence
16,Kenya,Isiolo County,Isiolo North Subcounty,NA,NA,Saleti,1,0,2018-06-15,2018-07-30,2018,June,0,1,LS,NA,15,15,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101603,NA,38.611561,1.177155,1
17,Kenya,Isiolo County,Isiolo South Subcounty,NA,NA,Garbatulla,1,0,2018-06-19,2018-07-30,2018,June,0,1,LS,NA,12,12,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101604,NA,38.415522,0.549314,1
19,Kenya,Wajir County,Wajir North Subcounty,NA,NA,Basir,1,0,2018-05-01,2018-07-30,2018,May,0,1,LS,NA,25,25,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000100918,"Based on information in Hassan et al. 2020 (10.4269/ajtmh.20-0387), setting the start date in Wajir County to May",39.027828,2.327758,1
20,Kenya,Wajir County,Eldas Subcounty,NA,NA,Eldas,1,0,2018-05-01,2018-07-30,2018,May,1,1,HU_LS,21,17,38,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101072,"Based on information in Hassan et al. 2020 (10.4269/ajtmh.20-0387), setting the start date in Wajir County to May; Arbitrarily assigning all Wajir County human cases reported in Hassan et al. 2020 to Eldas Subcounty",39.60631,2.492876,1
21,Kenya,Mandera County,Mandera South Subcounty,NA,NA,Elwak,1,0,2018-06-22,2018-07-30,2018,June,0,1,LS,NA,2,2,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102482,NA,40.913067,2.817387,1
22,Kenya,Marsabit County,Saku Subcounty,NA,NA,Marsabit,1,0,2018-06-01,2018-07-30,2018,June,1,1,HU_LS,8,18,26,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102478,Start date and human case data from Hassan et al. 2020 (10.4269/ajtmh.20-0387),37.869589,2.394153,1
23,Kenya,Tana River County,Garsen Subcounty,NA,NA,Dhidhe Ade,1,0,2018-06-20,2018-07-30,2018,June,1,1,HU_LS,NA,20,20,Daily Nation,https://reliefweb.int/report/kenya/quarantine-tana-delta-after-rift-valley-fever-outbreak,NA,Total human case count unclear,40.26515673,-2.5509187,1
24,Kenya,Tana River County,Bura Subcounty,NA,NA,Galole,1,0,2018-06-11,2018-07-30,2018,June,0,1,LS,NA,1,1,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101073,NA,39.952116,-1.284105,1
25,Kenya,Siaya County,Ugenya Subcounty,NA,NA,Siaya,1,0,2018-06-02,2018-07-30,2018,June,1,1,HU_LS,1,38,39,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101606,Start date and human case data from Hassan et al. 2020 (10.4269/ajtmh.20-0387),34.141077,0.198418,1
27,Kenya,Baringo County,Mogotio Subcounty,NA,NA,Mogotio,1,0,2018-06-29,2018-07-30,2018,June,0,1,LS,NA,1,1,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102477,NA,36.067303,0.24718300000000001,1
28,Kenya,Meru County,Igembe South Subcounty,NA,NA,Igembe Central,1,0,2018-07-02,2018-07-30,2018,July,0,1,LS,NA,1,1,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102483,NA,37.952045,0.237924,1
29,Kenya,Murang'a County,Kiharu Subcounty,NA,NA,Kihingo,1,0,2019-01-25,2019-03-21,2019,January,0,1,LS,NA,4,4,WAHIS,https://wahis.woah.org/#/in-event/2824/dashboard,1000111864,NA,37.087673,-0.721406,1
30,Kenya,Nyandarua County,Ndaragwa Subcounty,NA,NA,Rurii,1,NA,2019-01-24,2019-03-21,2019,January,1,1,HU_LS,15,1,16,Unpublished KEMRI records,NA,NA,NA,36.37819305,-0.21193184,1
31,Kenya,Nyandarua County,Ol Kalou Subcounty,NA,NA,Karau,1,NA,2019-01-24,2019-03-21,2019,January,1,1,HU_LS,NA,1,1,Unpublished KEMRI records,NA,NA,Total human case count unclear,36.33845537,-0.31679704,1
32,Kenya,Nyandarua County,Ndaragwa Subcounty,NA,NA,Shamata,1,0,2019-02-25,2019-03-21,2019,February,0,1,LS,NA,5,5,WAHIS,https://wahis.woah.org/#/in-event/2824/dashboard,1000111865,NA,36.498871,-0.195548,1
33,Kenya,Isiolo County,Isiolo South Subcounty,Sericho Ward,NA,Eresa Boru,1,0,2020-11-19,2021-03-18,2020,November,1,1,HU_LS,NA,24,24,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000143195,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311) where this outbreak is referred to as occurring in Garbatulla Subcounty; Total human case count in Isiolo South (Garbatulla) unclear,38.781515,1.038371,1
34,Kenya,Isiolo County,Isiolo North Subcounty,Cherab Ward,NA,Korbesa,1,0,2020-11-19,2021-03-18,2020,November,1,1,HU_LS,NA,20,20,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000144227,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311) where Korbesa is described as being within Merti Subcounty; Total human case count in Isiolo North (Merti) unclear,38.78781,1.210698,1
35,Kenya,Garissa County,Balambala Subcounty,Danyere Ward,NA,Danyere,1,0,2020-12-07,2021-03-18,2020,December,0,1,LS,NA,1,1,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000143196,"Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311); Coordinates given by WAHIS fall within Danyere Ward, not Jara Jara Ward, as indicated in the WAHIS event",38.850756,0.307889,1
36,Kenya,Garissa County,Ijara Subcounty,Masalani Ward,NA,Qalaqal,1,0,2020-12-07,2021-03-18,2020,December,0,1,LS,NA,3,3,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000143198,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311),40.240787,-1.627194,1
37,Kenya,Mandera County,Mandera North Subcounty,Rhamu-Dimtu Ward,NA,Yabicho,1,0,2021-01-22,2021-03-18,2021,January,1,1,HU_LS,2,2,4,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000146374,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311) where the human portion of this outbreak is described from Kalmalab in Mandera North Subcounty,41.09124,3.821088,1
38,Kenya,Murang'a County,Gatanga Subcounty,Kihumbu-Ini Ward,NA,Kihumbu-Ini,1,0,2020-12-29,2021-03-18,2020,December,0,1,LS,NA,NA,NA,WHO,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311,NA,Total livestock case count unclear,36.98083414,-0.93262002,1
39,Kenya,Murang'a County,Kandara Subcounty,Ng'Araria Ward,NA,Ngararia,1,0,2021-01-19,2021-03-18,2021,January,0,1,LS,NA,6,6,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000145035,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311),37.019834,-0.934632,1
40,Kenya,Kiambu County,Kikuyu Subcounty,NA,NA,Kikuyu,1,0,2021-06-14,2021-08-20,2021,June,0,1,LS,NA,5,5,WAHIS,https://wahis.woah.org/#/in-event/3841/dashboard,ob_87960,I believe this same outbreak event is captured in Juma et al. 2022 (https://doi.org/10.1186/s12864-022-08764-6) which describes 5 IgM-positive cattle sampled in Kiambu county in July 2021; So at least 5 positive animals were involved in the outbreak event in this area,36.6601,-1.2396,1
NA,Kenya,Wajir County,Eldas Subcounty,NA,NA,NA,0,0,2021-07-01,2021-08-31,2021,July,0,1,LS,NA,1,1,Omani_etal_2024,https://doi.org/10.1016/j.onehlt.2024.100921,NA,"Although the sampling started in June 2021, discussion of the single IgM-positive animal mentions July 2021 as the ""time of sampling"", hence the coding of the outbreak start date",39.65457512511144,2.2978730556473765,1
NA,Kenya,Isiolo County,Isiolo South Subcounty,NA,NA,NA,0,0,2021-07-01,2021-08-31,2021,July,0,1,LS,NA,4,4,Muturi_etal_2023,https://doi.org/10.1038/s41598-023-42596-y,NA,NA,38.318503211012114,0.3584662374438445,1
41,Kenya,Nyandarua County,NA,NA,NA,NA,0,0,2020-10-01,NA,2020,October,0,1,LS,NA,3,3,Wanjama_etal_2022,https://www.researchgate.net/profile/James-Kabugu/publication/366836264_Sero-epidemiological_survey_of_Rift_Valley_Fever_virus_in_ruminants_in_Nyandarua_County_Kenya/links/63b435a8a03100368a4df2e1/Sero-epidemiological-survey-of-Rift-Valley-Fever-virus-in-ruminants-in-Nyandarua-County-Kenya.pdf,NA,Outbreak timing coded as occurring between the two sampling events; Not clear when the IgM-positive animals were sampled,36.35266852898151,0.00875617474727433,1
NA,Uganda,Northern Region,Kitgum District,NA,NA,NA,0,0,2010-12-01,NA,2010,December,0,1,LS,NA,1,1,Ndumu_etal_2021,https://doi.org/10.1186/s12917-021-02867-0,NA,Some ambiguity in the manuscript about whether the samples were collected starting in November 2010 or December 2010,33.062295450825026,3.4136658869469025,1
42,Uganda,Western Region,Kabale District,NA,Kamuganguzi Subcounty,Omururinda,1,0,2016-02-10,NA,2016,February,1,1,HU_LS,1,1,2,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,1000070693,"Captures acute case 2 (AC2) and the single confirmed livestock case; Livestock case is also attested to by a WAHIS event (https://wahis.woah.org/#/in-event/1922/dashboard) where the village is referred to as Kashenyi, immediately adjacent to Omururinda; Note that the coordinates for Kashenyi given in the WAHIS event appear to be inaccurate",29.9924701,-1.3299139,1
43,Uganda,Western Region,Kabale District,NA,Northern Division,Upper Bugongi,1,0,2016-03-02,NA,2016,March,1,0,HU,1,NA,1,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,NA,Captures acute case 1 (AC1),29.995927,-1.232273,1
NA,Uganda,Western Region,Kabale District,NA,Rubaya Subcounty,Mushenyi,1,0,2016-03-03,NA,2016,March,1,0,HU,1,NA,1,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,NA,Captures acute case 3 (AC3),29.9868397,-1.4472344,1
44,Uganda,Western Region,Kabale District,NA,Southern Division,Rushaki,1,0,2016-06-02,NA,2016,June,1,0,HU,1,NA,1,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,NA,Captures acute case 4 (AC4),30.0052505,-1.2592782,1
NA,Uganda,Western Region,Kabale District,NA,NA,NA,0,0,2016-04-01,2016-04-30,2016,April,1,0,HU,10,NA,10,Nyakarahuka_etal_2018,https://doi.org/10.1371/journal.pntd.0006412,NA,Assuming this data is distinct from that reported by Shoemaker et al. 2019,29.920712875839197,-1.4536010344675434,1
45,Uganda,Western Region,Isingiro District,NA,Mbaare Subcounty,Katojo Central,1,NA,2018-07-03,NA,2018,July,1,0,HU,3,NA,3,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.9719902,-0.8682045,1
46,Uganda,Central Region,Kiboga District,NA,Kibiga Subcounty,Busakya,1,0,2017-11-14,NA,2017,November,1,0,HU,1,NA,1,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,NA,Start date information from Table 1,31.7522425,0.8918558,1
47,Uganda,Central Region,Mityana District,NA,NA,NA,0,0,2017-11-16,NA,2017,November,1,0,HU,1,NA,1,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,NA,No information given in paper regarding specific village location,31.988645989545272,0.6365116323894451,1
48,Uganda,Western Region,Kiruhura District,NA,Kanyaryeru Subcounty,Rushororo,1,0,2017-11-18,NA,2017,November,1,0,HU,4,NA,4,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,NA,Additional information: https://uniph.go.ug/rift-valley-fever-outbreak-caused-by-handling-a-dead-calf-kiruhura-district-2017-2018/,30.9425875,-0.5073751,1
49,Uganda,Central Region,Kyankwanzi District,NA,Butemba Town Council,Bukwiri,1,NA,2017-12-14,2018-01-04,2017,December,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.596401,1.126574,1
50,Uganda,Central Region,Buikwe District,NA,Kawolo Subcounty,Vvumba,1,0,2018-01-07,NA,2018,January,1,0,HU,1,NA,1,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,NA,Village may also be known as Vumba,32.9,0.3,1
51,Uganda,Northern Region,Yumbe District,NA,Ariwa Subcounty,Ariwa II refugee camp zone 5,1,NA,2018-01-19,2018-02-07,2018,January,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.4071817,3.2428225,1
52,Uganda,Western Region,Rwampara District,NA,Bugamba Subcounty,Bugamba,1,NA,2018-06-08,2018-08-24,2018,June,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.48719,-0.709031,1
53,Uganda,Western Region,Ibanda District,NA,Bufunda Division,NA,1,NA,2018-06-18,2018-07-20,2018,June,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.53012239,-0.09016975,1
54,Uganda,Western Region,Kasese District,NA,Munkunyu Subcounty,NA,1,NA,2018-06-20,2018-07-07,2018,June,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,29.857045,0.01362694,1
55,Uganda,Western Region,Isingiro District,NA,Masha Subcounty,Kabare,1,NA,2018-06-22,2018-07-20,2018,June,1,0,HU,4,NA,4,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,Village may also be known as Kabaare,30.718193,-0.664144,1
56,Uganda,Central Region,Ssembabule District,NA,Lwebitakuli Subcounty,NA,1,NA,2018-07-01,2018-08-01,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.34864797,-0.25844587,1
57,Uganda,Western Region,Isingiro District,NA,Kashumba Subcounty,NA,1,NA,2018-07-03,2018-08-24,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.9563515,-0.8892447,1
58,Uganda,Western Region,Isingiro District,NA,Rugaaga Subcounty,Nakivale,1,NA,2018-07-03,2018-07-20,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.94943771,-0.771338167,1
59,Uganda,Western Region,Isingiro District,NA,Kashumba Subcounty,Kashumba,1,NA,2018-07-05,2018-08-24,2018,July,1,0,HU,3,NA,3,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.949304,-0.903845,1
60,Uganda,Central Region,Masaka District,NA,Kkingo Subcounty,Kasaana B,1,NA,2018-07-09,2018-08-03,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.623002,-0.303224,1
61,Uganda,Central Region,Mubende District,NA,Kigando Subcounty,Bubanda,1,NA,2018-07-10,2018-08-10,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.26666682,0.266838647,1
62,Uganda,Western Region,Rwampara District,NA,Bugamba Subcounty,Rurengye,1,NA,2018-07-10,2018-07-30,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.503668,-0.729509,1
63,Uganda,Western Region,Isingiro District,NA,Kikagate Subcounty,Kizibale,1,NA,2018-07-14,2018-08-07,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.661807,-1.034086,1
64,Uganda,Western Region,Sheema District,NA,Kagango Division,Kasozi,1,NA,2018-07-19,2018-08-11,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.392695,-0.642397,1
65,Uganda,Western Region,Isingiro District,NA,Kashumba Subcounty,Kashumba,1,NA,2018-07-19,2018-08-14,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.948346,-0.903202,1
66,Uganda,Western Region,Isingiro District,NA,Nyakitunda Subcounty,Rwamuhunga,1,NA,2018-07-29,2018-08-19,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.738107,-0.924658,1
68,Uganda,Western Region,Kiruhura District,NA,Sanga Town Council,Nyankumba,1,NA,2018-08-07,2018-08-29,2018,August,1,0,HU,2,NA,2,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.908201,-0.501662,1
69,Uganda,Central Region,Rakai District,NA,Kacheera Subcounty,Kakyera,1,NA,2018-08-08,2018-08-24,2018,August,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.18753748,-0.594695726,1
70,Uganda,Eastern Region,Namutumba District,NA,Busembatia Town Council,Kasabuli,1,NA,2018-07-25,2018-08-20,2018,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,33.623679,0.77964,1
NA,Uganda,Western Region,Isingiro District,NA,Kashumba Subcounty,Nakivale,1,0,2018-08-08,NA,2018,August,0,1,LS,NA,24,24,WAHIS,https://wahis.woah.org/#/in-event/2666/dashboard,1000104694,NA,30.929099,-0.7898187,1
NA,Uganda,Western Region,Mbarara District,NA,Kashare Subcounty,Mutonto,1,0,2018-08-12,NA,2018,August,0,1,LS,NA,12,12,WAHIS,https://wahis.woah.org/#/in-event/2666/dashboard,1000104698,Not using coordinates provided by WAHIS as these map to the city of Mbarara; Instead using coordinates for Mutonto itself,30.65,-0.383333,1
NA,Uganda,Central Region,Lyantonde District,NA,Lyantonde Town Council,Lyantonde,1,0,2018-09-02,NA,2018,September,0,1,LS,NA,20,20,WAHIS,https://wahis.woah.org/#/in-event/2666/dashboard,1000104697,NA,31.1535628,-0.4064197,1
71,Uganda,Western Region,Kiryandongo District,NA,Kiryandongo Subcounty,Mirima,1,NA,2019-03-03,2019-03-29,2019,March,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,32.15906437,1.897241385,1
72,Uganda,Western Region,Kasese District,NA,Central Division,Salute B,1,NA,2019-05-30,2019-06-30,2019,May,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.0653,0.179042,1
74,Uganda,Northern Region,Obongi District,NA,Itula Subcounty,Pasu,1,NA,2019-11-20,2019-12-10,2019,November,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,Village may also be known as Passu,31.546031,3.481613,1
75,Uganda,Western Region,Ntoroko District,NA,Nombe Subcounty,Kimara,1,NA,2019-12-04,2019-12-18,2019,December,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.413979,1.07504644,1
76,Uganda,Central Region,Kampala District,NA,Kira Division,Kasokozo,1,NA,2020-02-02,2020-03-20,2020,February,1,0,HU,2,NA,2,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,32.631177,0.42807,1
77,Uganda,Central Region,Kyankwanzi District,NA,Kyankwanzi Town Council,Kitegwa,1,NA,2020-02-12,2020-03-10,2020,February,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,31.882801,1.183394,1
78,Uganda,Central Region,Lake Victoria District,NA,Bussi Subcounty,Gulwe,1,NA,2020-03-04,2020-03-24,2020,March,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,"Outbreak actually occurred on Kava Island, as indicated by the GPS coordinates",32.366674,-0.015864,1
79,Uganda,Western Region,Kabale District,NA,Central Division,Kigongi A,1,NA,2020-07-08,2020-08-14,2020,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,29.995834,-1.245965,1
80,Uganda,Western Region,Kiruhura District,NA,Kenshunga Subcounty,Rushere,1,NA,2020-07-20,2020-08-03,2020,July,1,0,HU,1,NA,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,NA,NA,30.862896,-0.176444,1
81,Uganda,Central Region,Ssembabule District,NA,Lugusulu Subcounty,Kyebando,1,0,2020-11-28,2020-12-31,2020,November,1,0,HU,2,NA,2,Aceng_etal_2023,https://doi.org/10.1186/s42522-023-00092-3,NA,NA,31.39609,-0.06351,1
